Table 1
,County,Latitude,Longitude,Location_notes,,
,Haddington       ,55.9556,-2.7788,,,
,Fife             ,56.071381,-3.461620,,,
,Edinburgh        ,55.953251,-3.188267,,,
,Aberdeen         ,57.147480,-2.095400,,,
,Ayr              ,55.4585150369585,-4.62935869556824,,,
,Berwick          ,56.0584395015879,-2.71796469410901,,,
,Renfrew          ,55.8753808952869,-4.39319654943702,,,
,Linlithgow       ,55.9717215035716,-3.60260485453228,,,
,Perth            ,56.3957740599152,-3.42934230486232,,,
,Peebles          ,55.6530903010422,-3.19694448006971,,,
,Forfar           ,56.6437991033069,-2.88928381780612,,,
,Dumfries         ,55.0703459986971,-3.60703705888365,,,
,Lanark           ,55.6736868850646,-3.78237314869273,,,
,Ross             ,57.8113936354641,-4.05515377128707,,,
,Orkney           ,58.937307498636,-2.74336108963626,,,
,Roxburgh         ,55.5701286284826,-2.47559473520891,,,
,Nairn            ,57.586420387335,-3.86899258292928,,,
,Bute             ,55.8312773738009,-5.09753471812342,,,
,Stirling         ,56.1163059227191,-3.93695255879421,,,
,Caithness        ,58.2882123216466,-3.77243523513468,,,
,Inverness        ,57.4776812898492,-4.22306009638668,,,
,Kirkcudbright    ,54.8410411328848,-4.05783441308237,,,
,Shetland         ,60.3516200683086,-1.23367563574183,,,
,Elgin            ,57.6493468954184,-3.31865321147393,,,
,Dunbarton        ,55.9252216049948,-4.41761694347886,Went with duntocher,,
,Selkirk          ,55.5503663935694,-2.83847982266436,,,
,Clackmannan      ,56.1079829191299,-3.75549636277839,,,
,Wigtown          ,54.8674869788429,-4.44436338777307,,,
,Sutherland       ,57.8793440868954,-4.02742235566455,Went with Dornoch,,
,Banff            ,57.6664731514174,-2.52422399225905,,,
,Kinross          ,56.2071966923035,-3.42530155325793,,,
,Argyll           ,55.5662019117751,-5.56626321796375,Using kintyre,,
,Cromarty         ,57.6805844897037,-4.03437109806487,,,
,Kincardine       ,56.0689790517796,-3.71778208986534,,,
